real rider?;set;set;# out of (only for);Name;Name;color;color;model;model;year;more details;
No;HW Speed Graphics;;4/10;73 BMW 3.0 CSL race car;;black;;Car;;2015;;
No;BMW;;5/5;73 BMW 3.0 CSL race car;;white;;Car;;2015;;
No ;HW Speed Graphics;;9/10;Mercedes-Benz 300 SL;;silver;;Old car;;2019;;
No;camo set;;1/5;nissan skyline H/T 2000GT-X;;blue;;Car;;2011;;
No;HW Snow Stormer;;2/5;12 Ford Fiesta;;white;;rally car;;2011;;
No;53 Anniversary set;;1/6;70 Dodge Hemi Challenger;;orange;;Muscle car;;2006;;
No;53 Anniversary set;;2/6;69 Ford Torino Talladega;;orange;;Muscle car;;2008;;
No;53 Anniversary set;;3/6;18 Camaro SS;;orange;;Muscle car;;2017;;
No;53 Anniversary set;;5/6;Project Speeder;;orange;;Muscle car;;2013;;
No;Fast & Furious;;6/8;Buick Grand national;;black;;Car;;2014;;
No;Gran Turismo;;4/8;14 Corvette Stingray;;blue;;Car;;2013;;
No;HW Rescue;;10/10;Porsche Panamera;;red;;police;;2013;;
No;HW Rescue;;3/10;71 Porsche 911;;white;;police;;2017;;
No;HW Roadsters;;1/5;Porsche 918 Spyder;;black and red;;Hyper car;;2017;;
No;BMW;;3/5;BMW Z4 M Motorsport;;blue;;Race car;;2011;;
No ;HW City;;-;Custom '62 Chevy ;;yellow;;Pickup truck ;;2007;;
Yes;-;;8/12;T-Bird 1957;;green;;Old car;;1998;;
Yes;T-Hunt;;2/12;Ford 1956;;gold;;Van;;1999;;
No;Ferrari Heat ;;3/5;Ferrari 456M;;green;;Car;;1999;;
No;BMW;;3/8;BMW E36 M3 RACE;;orange;;Race car;;2013;;
No;Porsche;;5/8;Porsche 917K;;yellow;;Race car;;2014;;
No;Treasure Hunts 12;;12/15;65 ford Ranchero;;green;;Pickup truck ;;2010;;
No;-;;-;Corvette Split window;;blue;;Old car;;1979;;
No;-;;31/40;Callawy C-7;;silver;;Car;;1997;;
No;-;;-;1993 Camaro;;red;;Car;;1992;;
No ;Monster Trucks ;;-;5 alarm;;orange ;;monster truck fire truck;;2020;th sign on sides;
Yes;Redline club;;-;TV series Batmobile;;dark blue;;batmobile;;2021;;
no;HW Exotics;;1/10;17 Lamborghini Urus;;yellow;;SUV;;2019;Error car (front);
No;HW Space;;5/5;Ollie Rocket;;black and gold;;rocket;;2015;Th;
No;Fast Foodie;;2/5;Street Wiener;;brown;;sausage;;2017;Th;
No;1/4 mile set;;1/5;Mclaren Senna;;yellow;;Race car;;2018;;
No;1/4 mile set;;2/5;18 dodge challenger srt demon;;grey;;Race car;;2018;;
No;1/4 mile set;;3/5;Porsche 918 Spyder;;green;;Race car;;2017;;
No;1/4 mile set;;4/5;Lamborghini Aventador Miura Homage;;orange;;Race car;;2011;;
No;1/4 mile set;;5/5;Bugatti veyron 16.4;;black;;Race car;;2020;;
Yes;Hyper Haulers;;2/5;Baja Bouncer;;white;;off road car;;2020;;
Yes;Hot wheels boulevard;;28;Porsche 964;;green;;Old car;;2016;packaging broken;
No;Forza Horizon;;1/5;SRT Viper GTS-R;;Black and pink;;Muscle car;;2014;;
No;Forza Horizon;;1/5;SRT Viper GTS-R;;Black and pink;;Muscle car;;2014;;
No;Forza Horizon;;2/5;Porsche 911 Gt3 RS;;Black and pink;;Race car;;2010;;
No;Forza Horizon;;2/5;Porsche 911 Gt3 RS;;Black and pink;;Race car;;2010;;
No;Forza Horizon;;3/5;19 Mercedes-Benz A-Class;;Black and pink;;Car;;2018;;
No;Forza Horizon;;4/5;Renault Sport R.S. 01;;Black and pink;;Race car;;2015;;
No;Forza Horizon;;5/5;Corvette C7.R;;Black and pink;;Race car;;2014;;
Yes;Team Transport;;#35;Volkswagen ID R, Aero Lift;;Black and Blue;;race car, hauler;;2021;;
Yes;Team Transport;;#36;Corvetter C8.R, Carry on;;Yellow and grey;;Hyper car, hauler;;2021;;
Yes;Team Transport;;#37;21 Toyota GR Supra, Aero Lift;;White and Red;;car, hauler;;2021;;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;Batman;;1/5;The Dark Knight Batmobile;;blue;;batmobile;;2018;th;
No;Batman;;1/5;The Dark Knight Batmobile;;blue;;batmobile;;2018;th;
No;Batman;;1/5;The Dark Knight Batmobile;;blue;;batmobile;;2018;th;
No;Batman;;1/5;The Dark Knight Batmobile;;blue;;batmobile;;2018;th;
No;Batman;;1/5;The Dark Knight Batmobile;;blue;;batmobile;;2018;th;
No;HW Ride-Ons;;4/5;Pixel Shaker;;green;;Car;;2019;th;
No;X-Raycers;;9/10;69 Chevelle;;orange;;Car;;2004;th;
No;Superchromes;;2/5;Hover & out;;chrome;;Car;;2017;;
No;HW Ride-Ons;;4/5;Pixel Shaker;;green;;Car;;2019;th;
Yes;Pandem;;175;Pandem Toyota GR Supra;;Silver;;JDM car;;-;mini gt;
Yes;LBWK;;179;LB-Silhoette WORKS GT Nissan 35Gt-RR -JPS;;;Black;JDM car;;-;mini gt;
Yes;LBWK;;190;LB Works Lamborghini Huracan;;magic Bronze;;Car;;-;mini gt;
Yes;LBWK;;154;LB Works BMW M4 ;;Red with copper Wheel;;Car;;-;mini gt;
Yes;Mini Gt;;87;Nissan Skyline GT-R;;Black with BBS LM Wheel;;JDM car;;-;mini gt;
Yes;Redline club;;14357/30000;2006 BMW M3;;spectraflame blue;;BMW;;2019;;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;HW Speed Team;;5/5;Draftnator;;orange red;;Pickup truck ;;2020;th;
No;HW Speed Team;;5/5;Draftnator;;orange red;;Pickup truck ;;2020;th;
No;HW Speed Team;;5/5;Draftnator;;orange red;;Pickup truck ;;2020;th;
No;Mud Runners;;1/5;Mercedes-Benz Unimog 1300;;yellow;;truck;;2018;;
No ;Mud Runners;;2/5;67 Jeepster Commando;;red  ;;Pickup truck truck;;2018;;
No;Mud Runners;;3/5;Olds 442 W-30;;white;;mud car;;2006;;
No;Mud Runners;;4/5;Toyota Land Cruiser;;dark green;;Pickup truck truck;;2020;;
No;Mud Runners;;5/5;15 Land rover Defender Double cab;;black;;Pickup truck truck;;2017;;
No;HW Daredevils;;1/5;Poison Arrow;;yellow and black;;airplane;;2005;2021 set;
No;Baja Blazers;;4/10;Land Rover Defender 90;;zamac;;off road car;;2019;2021 set;
No;Baja Blazers;;5/10;70 Volkswagen Baja Bug;;blue;;off road car;;2019;2021 set;
No;Baja Blazers;;5/10;70 Volkswagen Baja Bug;;grey;;off road car;;2019;2021 set;
No;Baja Blazers;;5/10;70 Volkswagen Baja Bug;;black;;off road car;;2019;2021 set;
No;Experimotors;;4/10;HW Formula Solar;;brown;;future car;;2015;2021 set;
No;HW Race Day;;3/10;Corvette Grand sport roadster;;blue;;Old car;;2018;2021 set;
yes;HW Race Day;;3/10;Corvette Grand sport roadster;;light blue;;Old car;;2018;2021 set;sth
No;HW Race Day;;3/10;Corvette Grand sport roadster;;zamac;;Old car;;2018;2021 set;
No;Tooned;;3/5;68 Mustang ;;black;;Muscle car;;2002;2021 set;
No;Tooned;;3/5;68 Mustang ;;beige;;Muscle car;;2002;2021 set;
No;HW Glow Racers;;3/5;Cloak and dagger;;see through, glow in dark;;fantasy;;2007;2021 set;
No;Factory Fresh;;2/10;Volvon 850 Estate;;red;;Stationwagon;;2019;2021 set;
No;Dino Riders;;2/5;Aero Pod;;red;;truck;;2014;2021 set;
No;Dino Riders;;2/5;Aero Pod;;yellow;;truck;;2014;2021 set;
No;Mattel Games;;1/5;32 Ford;;red;;car with big engine;;1997;2021 set;
No;Mattel Games;;1/5;32 Ford;;blue;;car with big engine;;1997;2021 set;
No;red edition;;3/12;32 Ford;;red;;car with big engine;;1997;2021 set;
No;Track Stars;;1/5;Retro-Active;;blue;;battery car;;2010;2021 set;
No;Track Stars;;1/5;Retro-Active;;dark red;;battery car;;2010;2021 set;
No;HW Drift;;1/5;Toyota AE86 Sprinter Trueno;;blue falken;;drift car;;2020;2021 set;
No;HW Drift;;1/5;Toyota AE86 Sprinter Trueno;;black;;drift car;;2020;2021 set;
No;HW Drift;;1/5;Toyota AE86 Sprinter Trueno;;zamac;;drift car;;2020;2021 set;
No;Baja Blazers;;4/10;Land Rover Defender 90;;green;;off road car;;2019;2021 set;
No;Baja Blazers;;4/10;Land Rover Defender 90;;blue;;off road car;;2019;2021 set;
No;Experimotors;;4/10;HW Formula Solar;;yellow;;future car;;2015;2021 set;
No;Fast Foodie;;1/5;Buns of steel;;purple;;hamburger;;2018;2021 set;
No;HW Art Cars;;2/10;Road Bandit;;purple;;bus;;2019;2021 set;
No;HW Getaways;;1/5;Barbie Dream Camper;;pink;;Van;;2020;2021 set;
No;HW Getaways;;2/5;RV There yet;;orange;;car with trailer;;2019;2021 set;
No;HW Getaways;;2/5;RV There yet;;yellow;;car with trailer;;2019;2021 set;
No;HW Turbo;;1/5;Nissan 300ZX Twin Turbo;;blue;;JDM car;;2018;2021 set;
Yes;HW Turbo;;1/5;Nissan 300ZX Twin Turbo;;blue;;JDM car;;2018;2021 set;sth
No;HW Turbo;;1/5;Nissan 300ZX Twin Turbo;;zamac;;JDM car;;2018;2021 set;
No;Dino Riders;;1/5;T-Rextroyer;;gold;;dinosaur;;2020;2021 set;
No;Dino Riders;;1/5;T-Rextroyer;;green;;dinosaur;;2020;2021 set;
No;Factory Fresh;;1/10;2020 Jaguar F-Type;;blue;;Car;;2020;2021 set;
No;Factory Fresh;;1/10;2020 Jaguar F-Type;;grey;;Car;;2020;2021 set;
No;Holiday Racers;;1/5;Baja Bone Shaker;;black;;halloween truck;;2015;2021 set;th
No;Experimotors;;1/10;Tanknator;;orange;;tank;;2015;2021 set;
No;Tooned;;1/5;Tooned Twin Mill;;blue;;Car;;2020;2021 set;
No;Tooned;;1/5;Tooned Twin Mill;;red;;Car;;2020;2021 set;
No;Tooned;;1/5;Tooned Twin Mill;;zamac;;Car;;2020;2021 set;
No;Tooned;;2/5;Mattel Dream mobile;;lime;;Car;;2019;2021 set;
No;Fast Foodie;;1/5;Buns of steel;;red;;burger car;;2018;2021 set;
No;HW Dream Garage;;1/5;96 porsche carrera;;white;;Car;;2018;2021 set;
No;HW Dream Garage;;1/5;96 porsche carrera;;dark green;;Car;;2018;2021 set;
No;HW Glow Racers;;1/5;HW warp speeder;;glow in the dark;;Car;;2019;2021 set;
No;HW Glow Racers;;2/5;HI-Roller;;green;;Car;;2015;2021 set;
No;HW Art Cars;;1/10;Rigor Motor;;black;;coffin;;2020;2021 set;
No;HW Art Cars;;1/10;Rigor Motor;;black and pink;;coffin;;2020;2021 set;
No;HW Art Cars;;2/10;Road Bandit;;grey;;school bus;;2019;2021 set;
No;red edition;;6/12;70 Dodge Power wagon;;white;;Pickup truck truck;;2010;2021 set;
No;Experimotors;;1/10;Tanknator;;white;;tank;;2015;2021 set;
No;HW Metro;;1/10;Hot wheels Ford Transit connect;;blue;;Van;;2019;2021 set;
No;HW Metro;;1/10;Hot wheels Ford Transit connect;;grey;;Van;;2019;2021 set;
No;ID chase car;;1/8;BATMAN: Arkham Knight Batmobile;;red;;batman car;;2018;2021 set;
No;HW Race Day;;1/10;Triumph TR6;;green;;Race car;;2009;2021 set;
No;HW Race Day;;1/10;Triumph TR6;;red;;Race car;;2009;2021 set;
No;red edition;;2/12;Triumph TR6;;black;;Race car;;2009;2021 set;
No;HW Race Day;;2/10;64 Corvette sting ray;;red;;Old car;;2007;2021 set;
No;HW Race Day;;2/10;64 Corvette sting ray;;white;;Old car;;2007;2021 set;
No;HW Screen Time;;1/10;Hyperfin;;blue;;Car;;2019;2021 set;
No;HW Screen Time;;2/10;X-34 Landspeeder;;bronze orange;;star wars landspeeder;;2020;2021 set;
No;Tooned;;2/5;Mattel Dream mobile;;light blue;;Car;;2019;2021 set;
No;HW Dream Garage;;2/5;The Nash;;light blue;;Car;;2020;2021 set;
No;Baja Blazers;;1/10;Quad rod;;gold;;quad;;2016;2021 set;
No;Baja Blazers;;1/10;Quad rod;;purple;;quad;;2016;2021 set;
No;Baja Blazers;;2/10;70 Dodge Power wagon;;yellow;;Pickup truck truck;;2010;2021 set;
No;Baja Blazers;;2/10;70 Dodge Power wagon;;orange;;Pickup truck truck;;2010;2021 set;
No;Baja Blazers;;3/10;Toyota Off-road truck;;orange;;rally truck;;2015;2021 set;
No;Baja Blazers;;3/10;Toyota Off-road truck;;red;;rally truck;;2015;2021 set;
No;red edition;;1/12;Toyota Off-road truck;;white;;rally truck;;2015;2021 set;
No;Experimotors;;2/10;Carbonator;;orange green;;bottle;;2008;2021 set;
No;Experimotors;;2/10;Carbonator;;purple blue;;bottle;;2008;2021 set;
No;red edition;;9/12;Carbonator;;red;;bottle;;2008;2021 set;
No;Batman;;1/5;BATMAN: Arkham Knight Batmobile;;dark red;;batman car;;2018;2021 set;
No;Batman;;1/5;BATMAN: Arkham Knight Batmobile;;beige;;batman car;;2018;2021 set;
No;Experimotors;;3/10;The Haulinator;;black;;tow truck;;2014;2021 set;
No;HW Metro;;2/10;Heavy Hitcher;;red;;tow truck;;2018;2021 set;
No;HW Metro;;2/10;Heavy Hitcher;;light blue;;tow truck;;2018;2021 set;
No;HW Screen Time;;3/10;Kool Kombi;;white;;Van;;2012;2021 set;
No;Factory Fresh;;2/10;Volvon 850 Estate;;yellow;;Stationwagon;;2019;2021 set;
No;HW Art Cars;;3/10;80 El camino;;red;;lowrider;;2007;2021 set;
No;HW Art Cars;;3/10;80 El camino;;turqouise;;lowrider;;2007;2021 set;
No;HW Art Cars;;3/10;80 El camino;;zamac;;lowrider;;2007;2021 set;
No;HW Turbo;;2/5;89 Porsche 944 Turbo;;silver;;Old car;;2019;2021 set;
No;HW Turbo;;2/5;89 Porsche 944 Turbo;;blue;;Old car;;2019;2021 set;
No;Mattel Games;;3/5;Zombot;;red;;robot;;2017;2021 set;
No;Mattel Games;;3/5;Zombot;;blue;;robot;;2017;2021 set;
No;Holiday Racers;;2/5;Rockin' santa sled;;white;;sled;;2019;2021 set;
No;red edition;;4/12;Kool Kombi;;red;;Van;;2012;2021 set;
No;HW Screen Time;;4/10;Party Wagon;;yellow;;ninja turtle van;;2020;2021 set;
No;Fast Foodie;;2/5;Street Wiener;;orange/brown;;hotdog;;2017;2021 set;th
No;Holiday Racers;;3/5;Quick bite;;black;;food van;;2017;2021 set;
No;Track Stars;;2/5;Fig Rig;;purple;;track car;;2020;2021 set;
No;HW Drift;;2/5;Dodge Van;;green/blue;;Van;;2020;2021 set;
No;HW Drift;;2/5;Dodge Van;;yellow;;Van;;2020;2021 set;
No;Baja Blazers;;6/10;Lancia Delta Integrale;;white;;rally car;;2020;2021 set;
No;Baja Blazers;;6/10;Lancia Delta Integrale;;black;;rally car;;2020;2021 set;
No;Baja Blazers;;6/10;Lancia Delta Integrale;;red;;rally car;;2020;2021 set;
No;Experimotors;;5/10;Clip rod;;gold and red;;money clip;;2019;2021 set;
No;Experimotors;;5/10;Clip rod;;gold and green;;money clip;;2019;2021 set;
No;Experimotors;;6/10;Loopster;;green;;roller coaster car;;2014;2021 set;
No;Redline club;;21142/30000;1991 BMW M3;;mauve;;old BMW;;2019;;
No;Experimotors;;6/10;pink;;green;;roller coaster car;;2014;2021 set;
No;HW Metro;;3/10;Speed Dozer;;grey;;excavator;;2013;2021 set;
No;HW Metro;;4/10;Surfin' school bus;;orange and dark blue;;school bus;;2020;2021 set;
No;HW Metro;;4/10;Surfin' school bus;;white and light blue;;school bus;;2020;2021 set;
No;Batman;;2/5;The Batman Batmobile;;light blue;;batman car;;2013;2021 set;
No;Batman;;2/5;The Batman Batmobile;;chrome;;batman car;;2013;2021 set;
No;Batman;;2/5;The Batman Batmobile;;black;;batman car;;2013;2021 set;
No;HW Race Day;;4/10;BMW M3 GT2;;red;;Race car;;2011;2021 set;
No;HW Race Day;;4/10;BMW M3 GT2;;white;;Race car;;2011;2021 set;
No;HW Race Day;;4/10;BMW M3 GT2;;zamac;;Race car;;2011;2021 set;
No;HW Race Day;;5/10;Porsche 935;;white;;Race car;;2020;2021 set;
No;Tooned;;4/5;Pixel Shaker;;yellow;;pixel car;;2019;2021 set;
No;Tooned;;4/5;Pixel Shaker;;purple;;pixel car;;2019;2021 set;
No;HW Race Day;;5/10;Porsche 935;;white;;Race car;;2020;2021 set;
No;HW Race Day;;5/10;Porsche 935;;zamac;;Race car;;2020;2021 set;
No;red edition;;12/12;Donut Drifter;;red and white;;donut;;2019;2021 set;
No;Fast Foodie;;3/5;Donut Drifter;;pink;;donut;;2019;2021 set;
No;Fast Foodie;;3/5;Donut Drifter;;light blue;;donut;;2019;2021 set;
No;HW Dream Garage;;3/5;Twin Mill;;blue;;Race car;;2018;2021 set;
No ;ID chase car;;2/8;Twin Mill;;blue;;Race car;;2018;2021 set;
No;HW Glow Racers;;4/5;Lindster Prototype;;glow in the dark;;Car;;2019;2021 set;
No;Factory Fresh;;3/10;Honda Civic Si;;blue;;Car;;2000;2021 set;
No;Factory Fresh;;3/10;Honda Civic Si;;black;;Car;;2000;2021 set;
No;Factory Fresh;;4/10;17 Lamborghini Urus;;blue;;SUV;;2019;2021 set;
No;Factory Fresh;;4/10;17 Lamborghini Urus;;white;;SUV;;2019;2021 set;
No;HW Art Cars;;5/10;Surf 'N Turf;;orange;;Car;;2016;2021 set;
No;HW Art Cars;;4/10;custom '77 Dodge Van;;white;;Van;;2007;2021 set;th
No;HW Art Cars;;5/10;Surf 'N Turf;;white;;Car;;2016;2021 set;
No;HW Art Cars;;5/10;Surf 'N Turf;;zamac;;Car;;2016;2021 set;
No;HW Speed Graphics;;1/10;2016 Ford GT Race;;silver ;;Race car;;2016;2021 set;
No;HW Speed Graphics;;1/10;2016 Ford GT Race;;black;;Race car;;2016;2021 set;
No;HW Speed Graphics;;2/10;Subaru WRX STI;;yellow;;Car;;2011;2021 set;
No;HW Speed Graphics;;2/10;Subaru WRX STI;;white;;Car;;2011;2021 set;
No;HW Speed Graphics;;2/10;Subaru WRX STI;;zamac;;Car;;2011;2021 set;
No;Street Beasts;;1/5;Hotweiler;;orange;;dog;;2016;2021 set;
No;Street Beasts;;1/5;Hotweiler;;red;;dog;;2016;2021 set;
No;HW Getaways;;3/5;Deora III;;black;;Car;;2018;2021 set;
No;HW Getaways;;3/5;Deora III;;dark green;;Car;;2018;2021 set;
No;Rod squad;;1/5;ION Motors Thresher;;grey;;Car;;2019;2021 set;
No;Dino Riders;;3/5;Tricera-Truck;;purple;;dinosaur;;2018;2021 set;
No;Dino Riders;;3/5;Tricera-Truck;;turqouise;;dinosaur;;2018;2021 set;
No;Mattel Games;;2/5;Rodger Dodger;;black;;Muscle car;;2018;2021 set;
Yes;Mattel Games;;2/5;Rodger Dodger;;black / grey;;Muscle car;;2018;2021 set;STH
No;Track Stars;;3/5;Lethal Diesel;;orange;;Muscle car;;2020;2021 set;
No;Track Stars;;3/5;Lethal Diesel;;blue;;Muscle car;;2020;2021 set;
No;HW Daredevils;;2/5;Head Gasket;;red;;car with helmet;;2020;2021 set;
No;HW Daredevils;;2/5;Head Gasket;;white;;car with helmet;;2020;2021 set;
No;X-Raycers;;1/5;69 Chevelle;;red;;old muscle car;;2004;2021 set;
No;X-Raycers;;1/5;69 Chevelle;;blue;;old muscle car;;2004;2021 set;
No;Then and Now;;1/10;Ford GT-40;;white;;Race car;;1999;2021 set;
No;Then and Now;;1/10;Ford GT-40;;black;;Race car;;1999;2021 set;
No;Then and Now;;1/10;Ford GT-40;;zamac;;Race car;;1999;2021 set;
Yes;Circuit legends;;1/5;Shelby Cobra Daytona Coupe;;blue;;Race car;;2006;;
Yes;Circuit legends;;4/5;16 Ford GT Race;;blue;;Race car;;2016;;
Yes;Euro Speed;;5/5;Audi R8 LMS;;white;;Race car;;2017;;
No;Lamborghini;;7-8;Lamborghini Urus;;red;;SUV;;2014;;
No;Lamborghini;;6-8;Lamborghini Reventón Roadster;;grey;;Hyper car ;;2010;;
No;Nissan;;4/5;Nissan Skyline GT-R 32;;blue;;JDM car;;2018;;
No;Nissan;;2/5;Nissan Skyline GT-R 34;;green;;JDM car;;2009;;
No;HW Speed Graphics;;9/10;15 Mazda MX-5 Miata;;light blue;;JDM car;;2015;;
No;Factory Fresh;;6/10;Tesla Model S;;white;;e-car;;2014;https://www.ebay.de/itm/284702088028?hash=item4249911b5c:g:M0oAAOSwkqZh-mSa;
No;Factory Fresh;;3/10;Custom Datsun 240z;;whtie;;JDM car;;2016;;
Yes;2021 collector Edition;;-;17 Ford F-150 Raptor;;turqouise;;Pickup truck truck;;2015;2021 set;in card keeper
Yes;2021 collector Edition;;-;Nissan laurel 2000 SGX;;turqouise;;JDM car;;2017;2021 set;in card keeper
Yes;2021 collector Edition;;-;71 Porsche 911;;turqouise;;Old car;;2017;2021 set;in card keeper
Yes;2021 collector Edition;;-;65 Ford Galaxie;;turqouise;;Muscle car;;2010;2021 set;in card keeper
Yes;2021 collector Edition;;-;1980 Dodge Macho Power Wagon;;Zamac;;Pickup truck truch;;2013;2021 set;in card keeper
Yes;2021 collector Edition;;-;67 Off Road Camaro;;turqouise;;off road car;;2018;2021 set;in card keeper
No;HW Rescue;;10/10;Lamborghini Countach police car;;white;;police car;;2017;th;
No;HW Rescue;;10/10;Lamborghini Countach police car;;white;;police car;;2017;th;
No;Fast Foodie;;2/5;Quick bite;;orange;;food van;;2017;th;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;HW Turbo;;1/10;Porsche 935;;red;;Hyper car ;;2021;;
No;HW Exotics;;1/10;Porsche 993 GT2;;white;;Old car;;2012;;
No;HW Exotics;;1/10;Porsche 993 GT2;;white;;Old car;;2012;;
No;Mud Studs ;;3/5;17 Jeep Wrangler;;orange;;Pickup truck truch;;2017;th;
No;Mud Studs ;;3/5;17 Jeep Wrangler;;orange;;Pickup truck truch;;2017;th;
No;Mud Studs ;;3/5;17 Jeep Wrangler;;orange;;Pickup truck truch;;2017;th;
No;Mud Studs ;;3/5;17 Jeep Wrangler;;orange;;Pickup truck truch;;2017;th;
No;Street Beasts;;5/5;Duck N' Roll;;gold;;duck;;2019;th;
No;Street Beasts;;5/5;Duck N' Roll;;gold;;duck;;2019;th;
Yes;Rlc collectors car;;13063/25000;1952 Dodge power wagon;;spectraflame red;;Pickup truck truck;;2022;rlc;
Yes;RLC 2022 club exclusive sign up;;-;1972 Skyline H/T 2000GT-R;;spectraflame blue;;JDM car;;2022;comes with badge and neh badge;
No;Experimotors;;10/10;Gotta Go;;blue;;toilet;;2016;th;
No;Experimotors;;10/10;Gotta Go;;blue;;toilet;;2016;th;
No;Experimotors;;10/10;Gotta Go;;blue;;toilet;;2016;th;
No;Experimotors;;10/10;Gotta Go;;blue;;toilet;;2016;th;
No;Experimotors;;10/10;Gotta Go;;blue;;toilet;;2016;th;
No;HW Turbo;;1/10;Porsche 935;;black;;Hyper car ;;2021;;
No;HW Turbo;;8/10;Koenigsegg Gemera;;grey;;Hyper car ;;2021;;
No;HW HatchBacks;;5/5;99 Honda Civic Type R (Ek9);;yellow;;JDM car;;2020;;
No;Retro Racers;;10/10;BMW R nineT Racer;;white and black;;Motorcycle;;2021;Non-error (wheels have chrome color;
No;Retro Racers;;10/10;BMW R nineT Racer;;white and black;;Motorcycle;;2021;error (silver painted rims missing only black);
Yes;hotwheels Boulevard;;51;12 Corvette Z06 Drag Racer;;blue;;corvette drag car;;2020;;
Yes;hotwheels Boulevard;;51;12 Corvette Z06 Drag Racer;;blue;;corvette drag car;;2020;;
Yes;Mountain Drifters;;3/5;03 Honda NSX Type-R;;white;;JDM car;;2019;;
Yes;Mountain Drifters;;2/5;Mitsubishi 3000GT VR-4;;blue;;JDM car;;2020;;
Yes;Mountain Drifters;;2/5;Mitsubishi 3000GT VR-4;;blue;;JDM car;;2020;;
Yes;DC (pop culture);;4/5;MBK Van;;black;;Van;;2019;;
No;Racing Circuit;;1/5;2020 Ford Mustang Shelby GT500;;light green;;Muscle car;;2020;;
No;Racing Circuit;;2/5;McLaren P1;;orange;;Hyper car;;2014;;
No;Racing Circuit;;3/5;17 Acura NSX;;blue;;Car;;2015;;
No;Racing Circuit;;4/5;71 Porsche 911;;yellow;;Old car;;2017;;
No;Racing Circuit;;5/5;2020 Koenigsegg Jesko;;blue;;Hyper car;;2020;;
No ;Luxury sedans;;1/5;Porsche Panamera Turbo S E-Hybrid Sport Turismo;;black;;Car;;2018;;
No ;Luxury sedans;;1/5;Porsche Panamera Turbo S E-Hybrid Sport Turismo;;black;;Car;;2018;;
No ;Luxury sedans;;2/5;Lamborghini Estoque;;blue;;Car;;2011;;
No ;Luxury sedans;;2/5;Lamborghini Estoque;;blue;;Car;;2011;;
No ;Luxury sedans;;3/5;Tesla Model 3;;grey;;Car;;2018;;
No ;Luxury sedans;;4/5;Jaguar XE SV Project 8;;orange;;sports car;;2018;;
No ;Luxury sedans;;5/5;Cadillac CTS-V;;white;;Car;;2009;;
No;Moving Parts;;35/50;2016 Corvette Stingray;;blue;;sports car;;2022;matchbox;
No;Moving Parts;;48/50;2016 Corvette Stingray;;red;;sports car;;2021;matchbox;
Yes;Matchbox Collectors;;2/20;1982 Datsun 280 ZX;;blue;;JDM car;;2021;matchbox;
No;Then and Now;;3/10;Dodge Viper RT/10;;blue;;Muscle car;;1992;;
No;Experimotors;;10/10;Gotta Go;;blue;;toilet;;2016;th;
No;Experimotors;;10/10;Gotta Go;;blue;;toilet;;2016;th;
No;Experimotors;;10/10;Gotta Go;;blue;;toilet;;2016;th;
No;HW Race Day;;4/10;BMW M3 GT2;;red;;Race car;;2011;international card i think;
No;Mud Studs ;;3/5;17 Jeep Wrangler;;orange;;Pickup truck truch;;2017;th;
No;Tooned;;3/5;Tooned Twin Mill;;black;;Car;;2020;th;
No;HW Torque;;2/5;2020 Koenigsegg Jesko;;white;;Hyper car;;2020;;2021 set
No;HW Torque;;2/5;2020 Koenigsegg Jesko;;dark grey;;Hyper car;;2020;;2021 set
No;HW Torque;;1/5;Jaguar XE SV Project 8;;red;;Race car;;2018;;2021 set
No;HW Torque;;1/5;Jaguar XE SV Project 8;;black;;Race car;;2018;;2021 set
No;Experimotors;;7/10;See me rollin';;turqouise;;dice roller;;2020;;2021 set
No;Experimotors;;7/10;See me rollin';;red;;dice roller;;2020;;2021 set
No;Baja Blazers;;7/10;19 Chevy Silverado Trail Boss LT;;dark green;;Pickup truck truck;;2017;;2021 set
No;Baja Blazers;;7/10;19 Chevy Silverado Trail Boss LT;;zamac;;Pickup truck truck;;2017;;2021 set
No;Then and Now;;2/10;17 Nissan GT-R R35;;yellow;;JDM car;;2016;;2021 set
No;Then and Now;;2/10;17 Nissan GT-R R35;;grey;;JDM car;;2016;;2021 set
No;Then and Now;;2/10;17 Nissan GT-R R35;;black;;JDM car;;2016;;2021 set
No;HW Daredevils;;3/5;Blade Raider;;red;;sand car;;2015;;2021 set
No;HW Daredevils;;3/5;Blade Raider;;blue;;sand car;;2015;;2021 set
No;Dino Riders;;4/5;Motosaurus;;green;;dinosaur;;2016;th;2021 set
No;HW Speed Graphics;;3/10;1985 Honda CR-X;;white;;JDM car;;2015;;2021 set
No;HW Speed Graphics;;3/10;1985 Honda CR-X;;black;;JDM car;;2015;;2021 set
