real rider?;set;set;# out of (only for);Name;Name;color;color;model;model;year;more details;
Does not say but has rubber wheels I think;Fast five;;9/32;Dodge charger;;Grey blue;;Muscle car;;2016;;
Does not say but has rubber wheels I think;Fast and furious 6;;29/32;Dodge Charger Daytona;;Red;;Muscle car;;2016;;
Does not say but has rubber wheels I think;F8;;23/32;Ice charger;;Grey blue;;Muscle car;;2016;;
Does not say but has rubber wheels I think;Furious 7;;19/32;Maserati Ghibli;;Green;;Car;;2016;;
Does not say but has rubber wheels I think;Furious 7;;5/32;Dodge challenger srt8;;Light green;;Muscle car;;2016;;
Does not say but has rubber wheels I think;Furious 7;;1/3;Dodge Charger off-road;;Black;;Muscle car;;2016;;
Does not say but has rubber wheels I think;The fast and the furious ;;13/32;Dodge charger r/t;;Black;;Muscle car;;2016;;
Does not say but has rubber wheels I think;Furious 7;;2/32;Plymouth roadrunner;;Orange;;Muscle car;;2016;;
Does not say but has rubber wheels I think;Fast and furious 6;;3/32;Flip car;;Beij;;Flip car;;2016;;
No;HW Hot trucks;;3/10;91 GMC syclone;;Black;;Pickup truck truck;;2019;2020 set;
No;HW Hot trucks;;3/10;91 GMC syclone;;red;;Pickup truck truck;;2019;2020 set;
No;HW Hot trucks;;4/10;erikstein rod;;red matt;;race truck;;2019;2020 set;
No;HW Hot trucks;;4/10;erikstein rod;;blue matt;;race truck;;2019;2020 set;
No;HW Hot trucks;;5/10;19 chevy silverado trail boss LT;;white;;Pickup truck truch;;2017;2020 set;
No;HW Hot trucks;;5/10;19 chevy silverado trail boss LT;;black;;Pickup truck truch;;2017;2020 set;
No;HW Hot trucks;;8/10;Datsun 620;;red matt;;pick up ;;2013;2020 set;
No;HW Hot trucks;;10/10;69 chevy Pickup truck;;kaki;;Pickup truck truck;;2001;2020 set;
yes;HW Hot trucks;;10/10;69 Chevy Pickup truck;;green metallic;;Pickup truck truck;;2001;2020 set;Super th
No;HW Hot trucks;;7/10;70 dodge power wagon;;zamac;;Pickup truck truch;;2010;2020 set;
No;HW Hot trucks;;1/10;99 ford f-150 svt;lightning;beij;;Pickup truck truck;;2019;2020 set;
No;HW Hot trucks;;9/10;sandblaster;;black;;truck for dunes and outlaw;;2013;2020 set;
No;HW Hot trucks;;2/10;2020 ram 1500 rebel;;red;;pick up small truck;;2019;2020 set;
No;HW Exotics;;1/10;17 lamborghini urus;;yellow;;SUV;;2019;2020 set;
No;HW Exotics;;2/10;mclaren speedtail;;light blue;;Hyper car;;2019;2020 set;
No;HW Exotics;;3/10;2020 koenigsegg jesko;;grey;;Hyper car;;2020;2020 set;
No;HW Exotics;;4/10;porsche 911 GT3 RS;;black and gold;;Hyper car;;2016;2020 set;
No;HW Exotics;;5/10;electro silhouette;;red;;Futuristic race car;;2018;2020 set;
No;HW Exotics;;5/10;electro silhouette;;grey;;Futuristic race car;;2018;2020 set;
No;HW Exotics;;6/10;90 acura nsx;;red;;Old race car;;2014;2020 set;
No;HW Exotics;;6/10;90 acura nsx;;white;;Old race car;;2014;2020 set;
No;HW Exotics;;8/10;jaguar xj220;;green blue;;Race car;;1992;2020 set;
No;HW Exotics;;9/10;McLaren P1;;light turkise;;Hyper car;;2018;2020 set;
No;HW Exotics;;10/10;Lamborghini Sesto Elemento;;baby blue;;Hyper car;;2013;2020 set;
yes;HW Exotics;;10/10;Lamborghini Sesto Elemento;;light blue mettalic;;Hyper car;;2013;2020 set;super th
No;Id chase car;;7/8;Aston martin one-77;;red mettalic;;Hyper car;;2018;2020 set;
No;Hw Flames;;2/10;57 Plymouth Fury;;white;;Old car;;2003;2020 set;
No;Hw Flames;;2/10;57 Plymouth Fury;;blue;;Old car;;2003;2020 set;
No;Hw Flames;;3/10;64 Chevy Nova Wagon;;orange;;Wagon;;2012;2020 set;
No;Hw Flames;;3/10;64 Chevy Nova Wagon;;zamac;;Wagon;;2012;2020 set;
No;Hw Flames;;4/10;67 Camaro;;black;;Muscle car;;2016;2020 set;
No;Hw Flames;;4/10;67 Camaro;;bronze orange;;Muscle car;;2016;2020 set;
No;Hw Flames;;5/10;68 Shelby Gt500;;blue ;;Muscle car;;2012;2020 set;
No;Hw Flames;;5/10;68 Shelby Gt500;;purple;;Muscle car;;2012;2020 set;
No;Hw Flames;;6/10;71 Dodge Charger;;yellow;;Muscle car;;2009;2020 set;
No;Hw Flames;;7/10;73 Ford Falcon x8;;dark green;;Muscle car;;2009;2020 set;
No;Hw Flames;;8/10;69 Dodge Charger 500;;red;;Muscle car;;2014;2020 set;
No;Hw Flames;;9/10;Custom Ford Maverick;;baby blue matt;;Muscle car;;2017;2020 set;
No;Hw Flames;;9/10;Custom Ford Maverick;;red;;Muscle car;;2017;2020 set;
No;Hw Flames;;9/10;Custom Ford Maverick;;black matt;;Muscle car;;2017;2020 set;
No;Hw Flames;;10/10;65 Ford Galaxie;;black;;Muscle car;;2019;2020 set;
Yes;Hw Flames;;10/10;65 Ford Galaxie;;black metallic;;Muscle car;;2019;2020 set;super th
No;speed blur;;1/5;Baja truck;;grey;;Buggy;;2019;2020 set;
No;speed blur;;2/5;custom '01 Acura Integra GSR;;red;;Car;;2015;2020 set;
No;speed blur;;2/5;custom '01 Acura Integra GSR;;purple;;Car;;2015;2020 set;
No;speed blur;;3/5;Indy 500 Oval ;;pink ;;F1 car;;2011;2020 set;
No;speed blur;;4/5;Roborace Robocar;;grey;;Race car;;2018;2020 set;
No;speed blur;;5/5;Mazda RX-7;;orange;;Old race car;;2011;2020 set;
yes;speed blur;;5/5;Mazda RX-7;;orange mettalic;;Old race car;;2011;2020 set;super th
No;Honda;;1/5;98 Honda Prelude;;blue;;Car;;2019;2020 set;
No;Honda;;1/5;98 Honda Prelude;;grey;;Car;;2019;2020 set;
No;Honda;;2/5;black;;white;;Race car;;2018;2020 set;
No;Honda;;2/5;2018 Honda civic Type R;;;;Car;;2018;2020 set;
No;Honda;;2/5;2018 Honda civic Type R;;zamac;;Car;;2018;2020 set;
No;Honda;;3/5;Honda Monkey Z50;;dark red seat;;Motorcycle;;2017;2020 set;
No;Honda;;4/5;Honda S2000;;yellow;;Car;;2010;2020 set;
No;Honda;;4/5;Honda S2000;;green;;Car;;2010;2020 set;
No;Honda;;5/5;88 Honda Cr-X;;white;;Car;;2018;2020 set;
yes;Honda;;5/5;88 Honda Cr-X;;white;;Car;;2018;2020 set;super th
No;HW Art Cars;;1/10;92 Ford Mustang;;beij;;Car;;2007;2020 set;
No;HW Art Cars;;1/10;92 Ford Mustang;;orange;;Car;;2007;2020 set;
No;HW Art Cars;;1/10;92 Ford Mustang;;zamac;;Car;;2007;2020 set;
No;HW Art Cars;;2/10;cruise bruiser;;black;;Wagon;;2015;2020 set;
No;HW Art Cars;;2/10;cruise bruiser;;red;;Wagon;;2015;2020 set;
No;HW Art Cars;;3/10;bone shaker;;green;;Car;;2017;2020 set;
No;HW Art Cars;;4/10;fish'D & Chip'D;;white and black;;Car;;2002;2020 set;
No;HW Art Cars;;5/10;Humvee;;yellow orange;;SUV;;2014;2020 set;
No;HW Art Cars;;6/10;la fasta;;white;;Car;;2008;2020 set;
No;HW Art Cars;;6/10;la fasta;;blue;;Car;;2008;2020 set;
No;HW Art Cars;;7/10;quick bite;;blue;;Ice-cream truck;;2017;2020 set;
No;HW Art Cars;;7/10;quick bite;;white;;Ice-cream truck;;2017;2020 set;
No;HW Art Cars;;8/10;rodger dodger;;gold;;Muscle car;;1970;2020 set;
No;HW Art Cars;;8/10;rodger dodger;;grey;;Muscle car;;1970;2020 set;
No;HW Art Cars;;9/10;super van;;white;;Van;;1974;2020 set;
No;HW Art Cars;;10/10;custom '56 ford truck;;yellow;;Pickup truck;;2008;2020 set;th
No;Id chase car;;5/8;bone shaker;;green metallic;;Car;;2017;2020 set;
No;street beasts;;1/10;veloci racer;;kaki;;dinosaur;;2019;2020 set;
No;street beasts;;2/10;Duck N' Roll;;Light green;;duck;;2019;2020 set;
No;street beasts;;3/10;motosaurus;;pink;;dinosaur;;2016;2020 set;
No;street beasts;;4/10;croc rod;;light blue;;crocodile;;2008;2020 set;has error wheels
No;street beasts;;5/10;i-Believe;;blue and light blue;;skeleton car idk;;2019;2020 set;
No;street beasts;;6/10;Knight Draggin;;purple;;dragon with a knight;;2013;2020 set;
No;street beasts;;6/10;Knight Draggin;;red;;dragon with a knight;;2013;2020 set;
No;street beasts;;7/10;ratical racer;;yellow;;Car;;2012;2020 set;
No;street beasts;;8/10;turbo rooster;;black;;rooster;;2016;2020 set;
No;street beasts;;9/10;Tur-Bone Charged;;black;;skeleton car  ;;2018;2020 set;
No;street beasts;;9/10;Tur-Bone Charged;;brown;;skeleton car   ;;2018;2020 set;
No;street beasts;;10/10;tricera truck;;black;;dinosaur;;2018;2020 set;th
No;Id chase car;;4/8;motosaurus;;pink mettalic;;dinosaur;;2017;2020 set;
No;HW Race Team;;1/5;Grand cross;;grey;;SUV;;2019;2020 set;
No;HW Race Team;;2/5;2010 chevy impala;;white;;nascar;;2010;2020 set;
No;HW Race Team;;2/5;2010 chevy impala;;blue;;nascar;;2010;2020 set;
No;HW Race Team;;3/5;10 pro stock camaro;;blue;;drag car;;2010;2020 set;
No;HW Race Team;;4/5;Custom '18 Ford MUSTANG Gt;;blue;;Race car;;2018;2020 set;
No;HW Race Team;;5/5;dodge viper rt/10;;blue;;cabrio;;1992;2020 set;th
No;Track stars;;1/5;HW warp speeder;;red;;cabrio;;2019;2020 set;
No;Track stars;;2/5;Forward force;;green;;SUV ;;2019;2020 set;
No;Track stars;;3/5;Gruppo x24;;white;;le mans car;;2018;2020 set;
No;Track stars;;3/5;Gruppo x24;;yellow;;le mans car;;2018;2020 set;
No;Track stars;;4/5;Nerve Hammer;;light green;;Car;;2005;2020 set;
No;Track stars;;5/5;circle trucker;;silver;;Car;;2010;2020 set;th
I think so;Hw screen time;;2/10;Ion Motors thresher;;purple;;Muscle car;;2019;2020 set;
No;Hw screen time;;3/10;party wagon;;yellow;;ninga turtles van;;2020;2020 set;
No;Hw screen time;;4/10;the flintstones flintmobile;;orange;;flintstones mobile;;2013;2020 set;
No;Hw screen time;;5/10;65 Ford Mustang Convertible;;light blue;;007's car;;2013;2020 set;
No;Hw screen time;;6/10;70 chevelle SS;;red;;fast and furious muscle car;;1998;2020 set;
No;Hw screen time;;7/10;sword warthog;;red;;halo car;;2016;2020 set;
No;Hw screen time;;8/10;octane;;light green;;rocket league car;;2016;2020 set;
No;Hw screen time;;8/10;octane;;light green;;rocket league car;;2016;2020 set;
No;Hw screen time;;9/10;snoopy;;red;;snoopy house;;2015;2020 set;
